,Brooklyn_All,Brooklyn_Q1,Brooklyn_Q2,Brooklyn_Q3,Brooklyn_Q4,Brooklyn_Q5,Brooklyn_All_MoM,Brooklyn_Q1_MoM,Brooklyn_Q2_MoM,Brooklyn_Q3_MoM,Brooklyn_Q4_MoM,Brooklyn_Q5_MoM,Brooklyn_All_YoY,Brooklyn_Q1_YoY,Brooklyn_Q2_YoY,Brooklyn_Q3_YoY,Brooklyn_Q4_YoY,Brooklyn_Q5_YoY
1995-01,,,,,,,,,,,,,,,,,,
1995-02,,,,,,,,,,,,,,,,,,
1995-03,,,,,,,,,,,,,,,,,,
1995-04,,,,,,,,,,,,,,,,,,
1995-05,,,,,,,,,,,,,,,,,,
1995-06,,,,,,,,,,,,,,,,,,
1995-07,,,,,,,,,,,,,,,,,,
1995-08,,,,,,,,,,,,,,,,,,
1995-09,,,,,,,,,,,,,,,,,,
1995-10,,,,,,,,,,,,,,,,,,
1995-11,,,,,,,,,,,,,,,,,,
1995-12,,,,,,,,,,,,,,,,,,
1996-01,,,,,,,,,,,,,,,,,,
1996-02,,,,,,,,,,,,,,,,,,
1996-03,,,,,,,,,,,,,,,,,,
1996-04,,,,,,,,,,,,,,,,,,
1996-05,,,,,,,,,,,,,,,,,,
1996-06,,,,,,,,,,,,,,,,,,
1996-07,,,,,,,,,,,,,,,,,,
1996-08,,,,,,,,,,,,,,,,,,
1996-09,,,,,,,,,,,,,,,,,,
1996-10,,,,,,,,,,,,,,,,,,
1996-11,,,,,,,,,,,,,,,,,,
1996-12,,,,,,,,,,,,,,,,,,
1997-01,,,,,,,,,,,,,,,,,,
1997-02,,,,,,,,,,,,,,,,,,
1997-03,,,,,,,,,,,,,,,,,,
1997-04,,,,,,,,,,,,,,,,,,
1997-05,,,,,,,,,,,,,,,,,,
1997-06,,,,,,,,,,,,,,,,,,
1997-07,,,,,,,,,,,,,,,,,,
1997-08,,,,,,,,,,,,,,,,,,
1997-09,,,,,,,,,,,,,,,,,,
1997-10,,,,,,,,,,,,,,,,,,
1997-11,,,,,,,,,,,,,,,,,,
1997-12,,,,,,,,,,,,,,,,,,
1998-01,,,,,,,,,,,,,,,,,,
1998-02,,,,,,,,,,,,,,,,,,
1998-03,,,,,,,,,,,,,,,,,,
1998-04,,,,,,,,,,,,,,,,,,
1998-05,,,,,,,,,,,,,,,,,,
1998-06,,,,,,,,,,,,,,,,,,
1998-07,,,,,,,,,,,,,,,,,,
1998-08,,,,,,,,,,,,,,,,,,
1998-09,,,,,,,,,,,,,,,,,,
1998-10,,,,,,,,,,,,,,,,,,
1998-11,,,,,,,,,,,,,,,,,,
1998-12,,,,,,,,,,,,,,,,,,
1999-01,,,,,,,,,,,,,,,,,,
1999-02,,,,,,,,,,,,,,,,,,
1999-03,,,,,,,,,,,,,,,,,,
1999-04,,,,,,,,,,,,,,,,,,
1999-05,,,,,,,,,,,,,,,,,,
1999-06,,,,,,,,,,,,,,,,,,
1999-07,,,,,,,,,,,,,,,,,,
1999-08,,,,,,,,,,,,,,,,,,
1999-09,,,,,,,,,,,,,,,,,,
1999-10,,,,,,,,,,,,,,,,,,
1999-11,,,,,,,,,,,,,,,,,,
1999-12,,,,,,,,,,,,,,,,,,
2000-01,,,,,,,,,,,,,,,,,,
2000-02,,,,,,,,,,,,,,,,,,
2000-03,,,,,,,,,,,,,,,,,,
2000-04,,,,,,,,,,,,,,,,,,
2000-05,,,,,,,,,,,,,,,,,,
2000-06,,,,,,,,,,,,,,,,,,
2000-07,,,,,,,,,,,,,,,,,,
2000-08,,,,,,,,,,,,,,,,,,
2000-09,,,,,,,,,,,,,,,,,,
2000-10,,,,,,,,,,,,,,,,,,
2000-11,,,,,,,,,,,,,,,,,,
2000-12,,,,,,,,,,,,,,,,,,
2001-01,,,,,,,,,,,,,,,,,,
2001-02,,,,,,,,,,,,,,,,,,
2001-03,,,,,,,,,,,,,,,,,,
2001-04,,,,,,,,,,,,,,,,,,
2001-05,,,,,,,,,,,,,,,,,,
2001-06,,,,,,,,,,,,,,,,,,
2001-07,,,,,,,,,,,,,,,,,,
2001-08,,,,,,,,,,,,,,,,,,
2001-09,,,,,,,,,,,,,,,,,,
2001-10,,,,,,,,,,,,,,,,,,
2001-11,,,,,,,,,,,,,,,,,,
2001-12,,,,,,,,,,,,,,,,,,
2002-01,,,,,,,,,,,,,,,,,,
2002-02,,,,,,,,,,,,,,,,,,
2002-03,,,,,,,,,,,,,,,,,,
2002-04,,,,,,,,,,,,,,,,,,
2002-05,,,,,,,,,,,,,,,,,,
2002-06,,,,,,,,,,,,,,,,,,
2002-07,,,,,,,,,,,,,,,,,,
2002-08,,,,,,,,,,,,,,,,,,
2002-09,,,,,,,,,,,,,,,,,,
2002-10,,,,,,,,,,,,,,,,,,
2002-11,,,,,,,,,,,,,,,,,,
2002-12,,,,,,,,,,,,,,,,,,
2003-01,,,,,,,,,,,,,,,,,,
2003-02,,,,,,,,,,,,,,,,,,
2003-03,,,,,,,,,,,,,,,,,,
2003-04,,,,,,,,,,,,,,,,,,
2003-05,,,,,,,,,,,,,,,,,,
2003-06,,,,,,,,,,,,,,,,,,
2003-07,,,,,,,,,,,,,,,,,,
2003-08,,,,,,,,,,,,,,,,,,
2003-09,,,,,,,,,,,,,,,,,,
2003-10,,,,,,,,,,,,,,,,,,
2003-11,,,,,,,,,,,,,,,,,,
2003-12,,,,,,,,,,,,,,,,,,
2004-01,,,,,,,,,,,,,,,,,,
2004-02,,,,,,,,,,,,,,,,,,
2004-03,,,,,,,,,,,,,,,,,,
2004-04,,,,,,,,,,,,,,,,,,
2004-05,,,,,,,,,,,,,,,,,,
2004-06,,,,,,,,,,,,,,,,,,
2004-07,,,,,,,,,,,,,,,,,,
2004-08,,,,,,,,,,,,,,,,,,
2004-09,,,,,,,,,,,,,,,,,,
2004-10,,,,,,,,,,,,,,,,,,
2004-11,,,,,,,,,,,,,,,,,,
2004-12,,,,,,,,,,,,,,,,,,
2005-01,673366.1611497892,241174.7406852519,477656.9869344335,546546.0258389042,695772.8727283631,1102800.8423694528,,,,,,,,,,,,
2005-02,696697.1155598686,291549.756033968,482358.2388310821,548837.4983848088,685906.8619423028,1100784.508773513,0.034648243045420024,0.2088735130618784,0.00984231786667844,0.004192643322924905,-0.014179930222591675,-0.0018283750959127154,,,,,,
2005-03,714984.2355094694,304504.3847859735,507331.6027362851,551623.7101708814,684925.4279831345,1094715.3389398179,0.026248307250282155,0.04443368064590736,0.05177347849540603,0.0050765696481602784,-0.0014308560150413374,-0.005513494953210518,,,,,,
2005-04,723052.082546058,309510.1996069517,504004.402535733,563874.9912299664,703460.5264785247,1116052.870225798,0.011283950940316645,0.01643922081613569,-0.006558235644314014,0.02220948960893976,0.027061483977853573,0.01949139701161462,,,,,,
2005-05,724540.7632770569,291876.0392943231,486988.7025471468,575227.5504242616,720059.9224814443,1169249.0814935928,0.002058884507678549,-0.05697440774172302,-0.033761014592287864,0.02013311349299629,0.023596769652470817,0.04766459787611321,,,,,,
2005-06,756871.5797426202,328919.0654006571,479389.0218831365,586222.2832391512,743770.1040956506,1154660.381160307,0.044622494832910364,0.12691355616546662,-0.015605455782158772,0.01911371040344023,0.03292806733708642,-0.012476982504574963,,,,,,
2005-07,766849.6344738798,336128.5248389737,492686.0574083923,600811.4702870898,748116.9172205628,1168999.393054565,0.013183286304200736,0.021918642598399485,0.02773746355939144,0.024886783503565546,0.005844296646202896,0.012418380441744148,,,,,,
2005-08,777698.4374608605,359714.1966680237,490404.4835027043,599946.4012402786,750121.779228848,1212339.1684457306,0.014147236301969235,0.07016861136777663,-0.0046308879079904886,-0.0014398344399081386,0.0026798779203307532,0.03707424969479223,,,,,,
2005-09,787196.9572285521,351190.4379917358,501958.4640484093,619498.0348298837,752121.1940725964,1230129.6052434014,0.012213628458228154,-0.023695919580717484,0.023560103821198553,0.03258896719637905,0.0026654536624757252,0.014674471683100654,,,,,,
2005-10,782266.399988139,355310.3599056508,499689.7719601164,620329.4918537342,760361.9743964091,1224415.3072318062,-0.006263435338688117,0.011731304352916139,-0.0045196809114351755,0.0013421463460798755,0.010956718662840093,-0.004645281267305568,,,,,,
2005-11,784380.7710601445,349200.1041925387,503162.0984663886,610238.275045236,773716.9102540629,1237735.3346561934,0.002702878548838994,-0.017196953431739437,0.006948964539841285,-0.016267510961541776,0.017563918643163534,0.010878684173347475,,,,,,
2005-12,786532.0851560093,357501.5971393327,496571.4370161022,623228.9187017429,766759.5810018867,1232337.7469658332,0.002742691018492449,0.023772882216028135,-0.013098485498757473,0.021287821802957074,-0.008992086330246507,-0.004360857720733469,,,,,,
2006-01,772598.9048174574,331572.9945015545,502731.2857958899,609025.8325815094,777909.3356350648,1264568.5822499283,-0.01771470052081625,-0.07252723580888709,0.012404758551563644,-0.0227895171325172,0.01454139590744874,0.026154222219883616,0.14736817706762384,0.3748247165497236,0.052494362162231356,0.11431755751348427,0.11805068309808697,0.14668808153329382
2006-02,784677.5331747001,355720.9429311895,501381.5518903557,611700.2914210716,779505.4880643683,1288519.444676183,0.01563376323979715,0.07282845355345047,-0.0026848018885424763,0.004391371755489981,0.0020518489188723343,0.018939947395847145,0.12628216142983462,0.2201037235295955,0.03943814270773838,0.11453807952493,0.13645967304805717,0.17054649153070223
2006-03,780972.0698267957,342679.5352090893,493010.5847935966,618961.1576283466,797003.6975281625,1258283.5630561477,-0.004722275318515323,-0.03666190585979334,-0.016695801960000534,0.011869973431607894,0.02244783357105673,-0.023465599797474423,0.09229271225862212,0.12536814683291952,-0.028228121144924345,0.12207134359145932,0.16363572582647312,0.1494162165250541
2006-04,787545.1608543901,362515.1220109033,484226.2493160368,629940.5327933532,782000.853062836,1279075.2101942096,0.008416550708467918,0.057883779927830004,-0.017817742150987304,0.017738391221633343,-0.01882405879904514,0.016523816847422435,0.08919561932694386,0.171254202515015,-0.039242024712857426,0.11716345394088101,0.11164851989276325,0.14607044551162618
2006-05,812103.9241039361,389353.3987586536,505671.9589808605,630272.6267868022,776959.1112336437,1299021.828341292,0.03118394280132808,0.07403353713598482,0.04428861445474186,0.0005271830850070991,-0.006447233157669152,0.015594562374525056,0.12085332567188622,0.33396835074233655,0.03836486624020785,0.09569269817125736,0.07902007454617865,0.11098811100362638
2006-06,811918.3163752481,357365.2350094066,516654.3413718583,648491.1847239956,793545.5238490246,1300450.5343356135,-0.00022855169539137687,-0.08215714528557472,0.02171839311226975,0.028905837193142325,0.02134785779015469,0.0010998321684445589,0.07272929530706773,0.08648379677869711,0.07773502893815998,0.1062206321137773,0.06692312514213761,0.12626236731947404
2006-07,830685.6414277437,380364.5517042446,530173.9685248836,662917.0294509971,819124.232471416,1302836.4728991804,0.02311479452302656,0.06435801371174965,0.02616764453604903,0.022245244140275178,0.032233448307192436,0.0018347015134918543,0.08324449029392911,0.1316045012438698,0.07608884106378766,0.10336946319322271,0.09491473005939066,0.11448857941226342
2006-08,833332.2630990009,390309.121499469,543947.5240248123,682121.8530528726,823673.808505483,1268310.2620318672,0.003186068880049797,0.026144838552034422,0.02597931305124468,0.028970176882890053,0.005554195387847516,-0.026500801586006095,0.07153650175739279,0.08505342606669752,0.10918138459843973,0.13697132217596675,0.0980534512039486,0.04616785058416761
2006-09,848432.2893520104,396493.4318277439,561437.5325649866,694445.8564614523,818707.8949239521,1285597.8088865255,0.01812005477485701,0.015844647197883477,0.032153852656155335,0.018067158167449193,-0.006028980805570794,0.013630376866117233,0.07778908640481363,0.12899836936071174,0.11849400453747716,0.12098153249533627,0.08853187674555629,0.045091349242138534
2006-10,838948.6042965588,392695.611805682,545019.9069305266,698104.9639591476,842954.9036145471,1263944.5032601496,-0.011177892655045873,-0.009578519383170558,-0.02924212344595911,0.005269104082988196,0.02961619014660566,-0.016842985789723874,0.07245895299769889,0.10521858104547954,0.09071655557926506,0.12537767932489619,0.10862317159363721,0.03228414067912322
2006-11,835197.1079076383,394378.3839559237,539741.9581012335,702440.9209474531,833141.2372607308,1276613.0562642824,-0.004471664139743092,0.004285181956844575,-0.00968395605771133,0.006211038758004328,-0.011641982639564397,0.010023029469613753,0.06478529143289946,0.12937647847457412,0.07269995046594002,0.151092859416893,0.0768037071687564,0.03141036740208136
2006-12,840898.284345314,390851.3466341624,542365.6118087,713210.7130723217,846077.0554092503,1281186.3894799312,0.006826144850954341,-0.00894328255616439,0.004860940803446789,0.015331954337657772,0.015526560887864527,0.0035823957723193356,0.06912140040481773,0.09328559581744189,0.09222071866995618,0.14438000495551662,0.10344503853962062,0.039639005324935805
2007-01,836853.3663856564,387338.9364204913,547706.3800985919,704951.2581069475,851144.4099331517,1257464.5337136034,-0.004810234525340684,-0.008986562906635465,0.009847173518397145,-0.011580665873335949,0.005989235249324043,-0.01851553837998321,0.08316664852557665,0.16818601889688978,0.08946149876369947,0.15750633289040317,0.09414345726844853,-0.005617764537282244
2007-02,822437.7195612052,366649.5147888584,532755.2735321386,702824.857363026,845164.4103012031,1275770.5185492903,-0.017226012827924575,-0.053414257349983174,-0.027297667344612697,-0.003016379812742942,-0.007025834349799975,0.01455785379618213,0.04812191606115257,0.030722317802308607,0.0625745433263245,0.1489693028104635,0.0842315073366271,-0.00989424426582608
2007-03,808475.8776381713,372575.5205739004,528523.4567431306,675614.5720063703,827586.9454747059,1251359.641500528,-0.016976169247785666,0.01616259001039322,-0.007943265884448714,-0.03871559901672761,-0.02079768694972961,-0.019134222568899406,0.03521740261143447,0.08724181718809021,0.07203267646758893,0.09152983782552804,0.03837278050452553,-0.005502671861025266
2007-04,807333.0027026432,371165.9962435338,537187.1354503741,661182.5691578619,802065.7414875969,1259534.8076657404,-0.0014136166175630072,-0.0037831909305136024,0.016392231218328224,-0.021361295991070395,-0.030838093963009516,0.0065330268726018215,0.02512597731765087,0.02386348515516623,0.10937219163385681,0.04959521532290001,0.025658397105544628,-0.015276976969557765
2007-05,799759.3331055013,355098.6274191247,540140.2600400754,660036.8247998477,806774.7205379935,1272703.43730617,-0.009381097479959521,-0.04328890304344257,0.005497385165833091,-0.001732871390535129,0.0058710636881993405,0.010455153410833029,-0.015200752800272,-0.0879786113303257,0.06816336252594057,0.04722432285340794,0.03837474697607823,-0.020260160730884547
2007-06,796217.6203333352,361919.4150198296,537959.8782270461,656253.1611275144,815211.2653984352,1268628.7215152401,-0.004428473198822669,0.019208149719639023,-0.004036695603596541,-0.0057325039000371,0.010457125943182488,-0.0032016223666012644,-0.01933777785924029,0.012743769019118778,0.041237506683125424,0.011969285915308658,0.027302455748628995,-0.024469837168109354
2007-07,796379.3044429494,371743.531709499,538487.0314617758,647920.8484492911,814900.5496006096,1258840.2508918862,0.00020306522423663154,0.02714448654027346,0.0009799118039564014,-0.012696796254524023,-0.00038114757611174,-0.007715788281746239,-0.04129882024423848,-0.022665150987700056,0.015679877607008397,-0.022621505158986976,-0.005156339787510622,-0.033769565806973545
2007-08,795738.1177745648,363597.5913565304,547560.6229497136,667138.7224567834,794528.5153987552,1248371.5287106747,-0.0008051272362396,-0.021912796479628627,0.016850157864167548,0.029660835970146016,-0.02499941153781149,-0.008316164162843087,-0.04511303232714259,-0.06843685856051651,0.00664236670877183,-0.021965475125934386,-0.03538450877734056,-0.015720706453364208
2007-09,792263.9205183884,348512.888852375,545197.5132527523,659232.8038233801,791774.8670031077,1256997.2870396427,-0.0043660058234895605,-0.041487355424650985,-0.004315704230576811,-0.011850486813730687,-0.003465764088108947,0.006909608342219098,-0.0662025355924637,-0.12101220127200996,-0.028925781356369473,-0.050706692696677935,-0.03289699303968008,-0.022246865737624466
2007-10,787538.8473339936,349384.9596261006,529266.2092146653,665761.7397209619,796807.5934384924,1261676.9151813106,-0.005964014089273495,0.0025022626181696594,-0.0292211604983994,0.009903839523330182,0.00635625939281681,0.003722862562964613,-0.061278791929895604,-0.11029064465587368,-0.02890481157758773,-0.046330030450948634,-0.054744696279928395,-0.001794056679696121
2007-11,798131.8245482704,365112.347363721,525361.8946552429,682219.5866317092,798886.0031260197,1245997.6233924062,0.01345073611306491,0.0450144956281211,-0.007376844566018503,0.024720325499097084,0.002608421034943076,-0.01242734300694659,-0.04437908489916231,-0.07420801388413201,-0.026642478373514633,-0.028787238488995337,-0.041115758772592104,-0.02398176387249662
2007-12,797450.0413384913,360014.0505584044,529720.3673064571,673732.3943445031,811530.70468896,1238503.9070301051,-0.0008542238121691526,-0.01396363843109838,0.008296133951767315,-0.012440557928143914,0.01582791726662114,-0.006014230060807257,-0.0516688448718261,-0.07889776085285383,-0.023314982047023758,-0.05535295250649919,-0.04083121093926856,-0.0333148110222683
2008-01,784201.5985356596,339568.639582495,522312.8470751061,675043.5501786352,796788.9071202342,1246631.6577399576,-0.016613508202463212,-0.05679059176773049,-0.013983831259909985,0.0019461077501072843,-0.01816542181774372,0.006562555567016792,-0.06291636021899294,-0.12332944701985082,-0.046363405551191006,-0.042425213919931926,-0.06386166927558923,-0.008614856072046595
2008-02,770705.3614291424,330951.573988802,513229.1013180027,663687.5007095998,792132.7481172946,1262443.3666040732,-0.017210162707802068,-0.025376505923184856,-0.017391388720326084,-0.016822691611571128,-0.005843654399968923,0.012683545108088223,-0.06290124699006217,-0.09736257477556931,-0.03665129785516419,-0.05568578891797904,-0.06274715491747795,-0.010446355164541399
2008-03,764113.772873968,332694.2828147443,518651.6229057976,650527.4404574123,768158.174090354,1248611.1114032476,-0.008552669911302324,0.0052657517380512164,0.010565499060496641,-0.019828699859673615,-0.03026585390380876,-0.010956733241851424,-0.05487127815588,-0.10704202384988859,-0.018678137576268128,-0.03713231269487993,-0.07180970133629094,-0.002196434986495688
2008-04,751198.2032599945,314268.3412147539,517980.9570747981,632171.50292722,767679.1300613434,1264636.833893199,-0.016902678727273468,-0.055384004330036984,-0.0012930950205882752,-0.028217007290707863,-0.0006236268065205053,0.012834838921096159,-0.06953115908148277,-0.15329436318150091,-0.035753235898833724,-0.043877542427642746,-0.04287255975112014,0.004050722692542363
2008-05,752962.3959524063,306614.1965204626,502131.4512349908,632857.4969196138,790301.8687806573,1284675.726759223,0.002348504941513063,-0.024355443073602268,-0.03059862650031475,0.0010851390630823854,0.029469003172596597,0.015845571099122546,-0.05851377435181693,-0.13653792821180277,-0.07036840542540668,-0.041178502257773086,-0.020418155574273955,0.009406975028207532
2008-06,747488.3446796805,310783.5442394923,505959.2831276671,627834.3504125341,788393.9118931046,1251511.1257448522,-0.007270019461996902,0.01359802568290891,0.007623166968055317,-0.007937247376430756,-0.002414212800099458,-0.025815542649064604,-0.06120095110838453,-0.14129076434746002,-0.05948509618383313,-0.04330464582624449,-0.03289620082988376,-0.013492990880691114
2008-07,744095.6411757189,310173.7078503758,502783.7062040336,629339.3156603829,780570.472699919,1226940.8210440357,-0.004538804555428322,-0.001962254438563571,-0.006276348768626594,0.0023970737613510096,-0.009923261805002692,-0.019632510007606352,-0.06565171015311833,-0.1656244658138054,-0.06630303641820678,-0.028678707952337956,-0.042127934405635226,-0.0253403319644806
2008-08,743108.3183622458,319680.2050556552,503275.776622202,625997.2996272319,770517.77126709,1223249.570087395,-0.0013268762224074582,0.030648945944397266,0.0009786920540515442,-0.005310356353065426,-0.012878659627051592,-0.003008499589654101,-0.06613959823805893,-0.12078569095308278,-0.08087660885647463,-0.06166846780838242,-0.03022011629074728,-0.020123783701816667
2008-09,738880.9392813427,311427.9846294554,504953.9031023655,621782.6130485996,762061.4118379107,1240685.4523056375,-0.005688779113952047,-0.025813986276576495,0.003334407412624696,-0.006732755206998675,-0.010974905115132105,0.01425374072847374,-0.06738030074891777,-0.10640898919129571,-0.07381473534295069,-0.05680874883285414,-0.037527656412817634,-0.012976825727620489
2008-10,741759.2159013244,311637.1696147332,495392.6762207045,627070.0708238207,775075.8717841291,1237237.9536043706,0.003895453877564181,0.0006716961724770876,-0.018934850929794078,0.008503707990959564,0.017077967397444604,-0.002778704864202508,-0.05812999776156336,-0.10804068398297328,-0.06400093639876048,-0.05811638997662727,-0.02727348714208866,-0.01937022171276548
2008-11,719915.616834342,305584.3756446349,490126.29022329,609080.8906505053,780334.1206855028,1206442.268554832,-0.02944836895681824,-0.019422567524859713,-0.01063073042902285,-0.02868767145860085,0.006784173127812432,-0.024890672776262113,-0.09799910905469467,-0.16304014955644597,-0.06706920465763033,-0.10720697179380057,-0.023222189859283926,-0.03174593120802183
2008-12,707952.6047372384,288439.0666140476,483143.2744045139,615849.4581428469,780882.7605144738,1225921.64987403,-0.0166172421008286,-0.05610662847018588,-0.014247380640599383,0.011112756279568536,0.0007030832234902196,0.01614613631080064,-0.11222952155226507,-0.19881164036053456,-0.08792769879470608,-0.08591383862130064,-0.03776560023841957,-0.01015923896941684
2009-01,688039.2599958463,279787.2398436364,469460.5113513218,612322.4086125785,742390.2683205998,1213683.6857611237,-0.02812807610021162,-0.02999533617957517,-0.02832030119855522,-0.0057271293879263,-0.049293561262018004,-0.0099826641565256,-0.12262451226747983,-0.1760510034506153,-0.10118904028447984,-0.09291421501539998,-0.06827233450857484,-0.026429596725119242
2009-02,671282.9910368276,277087.0228264694,456279.2066671169,584443.7560837802,766941.2689901434,1173442.0156635009,-0.024353652376057577,-0.00965096556467715,-0.028077557889295335,-0.04552936841224997,0.03307020810642047,-0.03315663757347653,-0.12900178896894254,-0.16275659460726766,-0.11096388436399085,-0.11939918190578247,-0.031802092751530786,-0.07049928202322675
